,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA,FGA,FG3M,MIN,PLUS_MINUS
118,203473,21,5.0,0.4,4.0,0.4,0.5,1.5,0.846,0.408,0.229,0.6,4.9,2.3,14.5,-2.0
119,1628415,26,14.5,2.0,3.3,1.2,0.3,1.4,0.817,0.411,0.365,2.7,12.8,4.8,27.7,-2.6
120,1627734,25,17.7,3.8,13.5,0.8,0.5,2.8,0.782,0.51,0.192,4.4,13.8,1.0,34.4,6.2
121,1628378,26,25.0,3.7,4.7,1.2,0.3,2.4,0.835,0.449,0.362,5.1,20.6,6.3,34.7,0.5
122,1628978,24,8.8,1.8,4.1,1.5,0.1,1.2,0.8,0.443,0.353,1.3,7.3,3.5,21.2,7.7
123,1627827,25,8.3,1.2,5.1,0.6,0.4,1.0,0.694,0.466,0.333,1.4,6.5,3.6,27.5,3.5
124,203926,27,9.5,1.1,2.9,0.1,0.1,0.8,0.8,0.468,0.476,0.7,7.6,3.8,21.0,2.6
125,1627733,3,5.0,1.0,0.7,0.0,0.7,0.3,1.0,0.75,0.5,0.3,2.7,1.3,9.7,6.0
126,203110,18,9.0,5.8,5.9,1.7,0.6,2.3,0.721,0.41,0.265,2.4,8.0,2.7,28.7,-7.6
127,1629234,4,2.8,0.5,3.3,0.0,0.3,1.0,1.0,0.5,0.0,0.3,2.5,0.0,7.8,-8.5
128,1629130,26,11.6,0.8,3.1,0.7,0.3,0.6,0.938,0.47,0.44,0.6,8.4,7.1,27.5,2.4
129,1628407,21,6.2,1.2,2.5,0.7,0.1,0.9,0.71,0.314,0.233,1.5,7.4,2.0,18.4,-5.1
130,2730,27,6.5,0.7,7.0,0.4,1.4,1.1,0.507,0.722,0.333,2.6,3.6,0.1,20.0,4.3
131,203939,22,8.2,1.3,4.9,0.8,0.4,0.9,0.563,0.676,0.438,2.2,4.9,0.7,25.6,6.0
132,1629058,21,4.4,1.1,2.4,0.4,0.0,1.1,0.742,0.309,0.184,1.5,4.6,2.3,14.3,-1.9
133,202734,16,9.6,1.4,3.2,0.5,0.1,0.7,0.636,0.421,0.382,1.4,8.8,3.4,20.4,-2.5
134,202334,14,1.6,0.4,4.5,0.4,0.5,0.7,0.429,0.476,0.0,0.5,1.5,0.0,12.2,-2.6
135,1628410,5,4.8,1.8,0.6,1.0,0.2,0.4,0.6,0.455,0.2,1.0,4.4,1.0,15.1,-5.6
136,203901,10,8.7,4.8,3.4,1.7,0.1,1.7,0.8,0.424,0.368,1.0,8.5,1.9,22.5,-0.1
137,1629059,17,4.1,2.3,0.9,0.2,0.0,0.2,0.56,0.397,0.385,1.5,3.4,1.5,9.8,1.7
138,1626144,23,7.2,2.4,2.6,0.3,0.3,1.7,0.784,0.463,0.324,1.6,5.9,1.5,16.1,0.3
139,202683,17,7.9,1.1,6.0,0.6,0.6,0.7,0.649,0.604,0.0,2.2,5.4,0.1,16.3,4.1
140,202339,26,15.0,5.7,4.9,0.8,0.5,2.3,0.813,0.477,0.344,3.1,11.8,3.6,26.6,8.8
141,201569,9,10.9,0.8,1.9,0.6,0.2,1.3,0.643,0.309,0.284,1.6,12.2,8.2,29.4,-4.2
142,1629672,25,16.1,1.7,5.0,0.4,0.4,1.6,0.807,0.493,0.288,4.4,12.1,2.4,30.9,-5.8
143,101141,24,7.9,0.8,4.8,0.5,0.3,0.3,0.838,0.515,0.333,1.5,5.6,2.5,16.3,2.8
144,203095,26,20.0,3.2,2.8,1.0,0.2,2.0,0.835,0.481,0.447,3.7,14.5,6.5,30.5,0.7
145,202323,15,3.9,2.2,2.1,0.5,0.5,1.5,0.857,0.39,0.0,0.9,3.9,0.3,13.8,-4.3
